Timestamp,Scenario,Engine_Fault_State,EGT_Sensor_Health,Vibration_Sensor_Health,RunID,TimeStep,Prediction_FullDBN,Prediction_VanillaDBN,Prediction_RuleBased
2025-05-01 11:53:58.991125,Normal,Normal,OK,OK,0,195,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:59.991125,Normal,Normal,OK,OK,0,196,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:00.991125,Normal,Normal,OK,OK,0,197,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:01.991125,Normal,Normal,OK,OK,0,198,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:02.991125,Normal,Normal,OK,OK,0,199,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:03.991125,Normal,Normal,OK,OK,0,200,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:04.991125,Normal,Normal,OK,OK,0,201,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:05.991125,Normal,Normal,OK,OK,0,202,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:06.991125,Normal,Normal,OK,OK,0,203,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:07.991125,Normal,Normal,OK,OK,0,204,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:08.991125,Normal,Normal,OK,OK,0,205,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:09.991125,Normal,Normal,OK,OK,0,206,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:10.991125,Normal,Normal,OK,OK,0,207,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:11.991125,Normal,Normal,OK,OK,0,208,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:12.991125,Normal,Normal,OK,OK,0,209,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:13.991125,Normal,Normal,OK,OK,0,210,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:14.991125,Normal,Normal,OK,OK,0,211,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:15.991125,Normal,Normal,OK,OK,0,212,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:16.991125,Normal,Normal,OK,OK,0,213,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:17.991125,Normal,Normal,OK,OK,0,214,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:54:18.991125,Normal,Normal,OK,OK,0,215,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
